date_of_service,BRL
6/26/2015,40
12/16/2014,200
12/23/2014,100
12/31/2014,100
12/10/2014,240
1/7/2015,200
1/14/2015,240
1/21/2015,240
1/28/2015,240
2/4/2015,200
2/18/2015,120
2/25/2015,240
2/11/2015,100
3/18/2015,240
3/11/2015,240
3/4/2015,240
3/25/2015,120
4/8/2015,160
4/1/2015,120
4/15/2015,240
4/22/2015,240
4/29/2015,240
5/13/2015,240
5/27/2015,110
5/6/2015,120
5/20/2015,100
6/10/2015,120
6/3/2015,240
6/17/2015,240
6/24/2015,120
7/2/2015,120
7/8/2015,100
7/15/2015,240
7/22/2015,200
7/29/2015,240
8/5/2015,200
8/19/2015,240
8/12/2015,240
8/26/2015,240
9/2/2015,240
9/10/2015,240
9/16/2015,200
9/23/2015,240
9/30/2015,240
10/14/2015,200
10/7/2015,240
12/23/2014,5
12/10/2014,20
1/7/2015,20
1/14/2015,15
2/4/2015,10
2/18/2015,5
3/18/2015,10
3/4/2015,20
4/8/2015,20
4/1/2015,10
4/22/2015,10
5/6/2015,10
5/20/2015,20
6/10/2015,20
6/24/2015,20
7/22/2015,10
8/5/2015,20
8/26/2015,20
9/30/2015,10
12/16/2014,60
12/23/2014,60
12/31/2014,60
12/10/2014,410
1/7/2015,60
1/14/2015,60
1/21/2015,60
1/28/2015,60
2/4/2015,60
2/18/2015,60
2/25/2015,60
2/11/2015,60
3/18/2015,120
3/11/2015,60
3/4/2015,60
3/25/2015,60
4/8/2015,60
4/1/2015,120
4/15/2015,100
4/22/2015,100
4/29/2015,60
5/13/2015,60
5/27/2015,60
5/6/2015,120
5/20/2015,120
6/10/2015,120
6/3/2015,60
6/17/2015,60
6/24/2015,120
7/2/2015,60
7/8/2015,60
7/15/2015,120
7/22/2015,120
7/29/2015,70
8/5/2015,120
8/19/2015,60
8/12/2015,120
8/26/2015,110
9/2/2015,120
9/10/2015,60
9/16/2015,80
9/23/2015,410
9/30/2015,35
10/14/2015,110
10/7/2015,60
5/27/2015,100
5/6/2015,400
5/20/2015,100
6/3/2015,40
6/24/2015,120
1/21/2015,1
4/15/2015,2
7/15/2015,3
1/21/2015,2
4/15/2015,4
7/15/2015,3
1/21/2015,6
4/15/2015,6
4/15/2015,3
6/26/2015,3
7/15/2015,12
7/15/2015,2
1/21/2015,7
4/15/2015,8
7/15/2015,6
1/21/2015,1
7/15/2015,2
