date_of_service,London
12/18/2014,7
12/18/2014,30
1/9/2015,60
1/9/2015,6
1/9/2015,1
1/30/2015,80
1/30/2015,32
1/30/2015,1
2/20/2015,80
2/20/2015,80
2/20/2015,12
2/20/2015,1
3/13/2015,80
3/13/2015,10
3/13/2015,1
4/10/2015,120
4/10/2015,27
4/10/2015,1
4/10/2015,1
4/24/2015,60
4/24/2015,4
5/8/2015,60
5/8/2015,22
5/8/2015,1
5/8/2015,1
6/5/2015,120
6/5/2015,12
6/5/2015,1
6/19/2015,60
6/19/2015,3
6/19/2015,1
6/19/2015,1
7/10/2015,60
7/10/2015,18
7/31/2015,80
7/31/2015,19
7/31/2015,1
7/31/2015,1
9/14/2015,80
9/14/2015,13
10/2/2015,100
10/2/2015,9
10/2/2015,1
10/2/2015,1
8/21/2015,100
8/21/2015,5
8/21/2015,1
10/23/2015,100
10/23/2015,11
10/23/2015,1
10/23/2015,1
